Time_seconds,OmegaX_[deg/s],OmegaY_[deg/s],OmegaZ_[deg/s],AccX_[m/s/s],AccY_[m/s/s],AccZ_[m/s/s],Temperature_[C]
0.011,0.0000000,0.0000000,0.0000000,-0.3640430,-0.1628613,9.8818502,31.37
0.022,0.0000000,0.0610352,0.0000000,-0.3832031,-0.1772314,9.8579006,31.37
0.033,-0.0610352,0.0000000,0.0000000,-0.3832031,-0.1820215,9.8866405,31.36
0.044,0.0000000,0.0000000,0.0000000,-0.3592529,-0.1628613,9.9010105,31.36
0.055,0.0000000,0.0610352,0.0000000,-0.3496729,-0.1820215,9.9010105,31.36
0.066,0.0000000,0.0000000,0.0000000,-0.3736230,-0.1676514,9.9058008,31.36
0.077,0.0000000,0.0000000,-0.0610352,-0.3975732,-0.1772314,9.8914309,31.37
0.088,0.0610352,0.0000000,-0.0610352,-0.3592529,-0.1724414,9.8962212,31.37
0.099,0.0610352,0.0000000,-0.0610352,-0.3640430,-0.1724414,9.8962212,31.39
0.110,0.0000000,0.0000000,0.0000000,-0.3544629,-0.1628613,9.8962212,31.37
0.121,0.0000000,0.0000000,0.0000000,-0.3736230,-0.1772314,9.9010105,31.36
0.132,-0.0610352,0.0000000,0.0000000,-0.3736230,-0.1676514,9.8818502,31.38
0.143,0.0000000,0.0000000,-0.0610352,-0.3544629,-0.1772314,9.8722706,31.37
0.154,-0.0610352,0.0000000,0.0000000,-0.3640430,-0.1676514,9.9105911,31.37
0.165,0.0000000,0.0000000,0.0000000,-0.3592529,-0.1628613,9.9153805,31.36
0.176,0.0610352,0.0000000,0.0000000,-0.3688330,-0.1676514,9.9201708,31.35
0.187,0.0610352,0.0000000,0.0610352,-0.3448828,-0.1628613,9.8866405,31.36
0.198,0.0610352,0.0000000,0.0000000,-0.3544629,-0.1916016,9.8722706,31.36
0.209,0.0000000,0.0000000,-0.0610352,-0.3496729,-0.1820215,9.8818502,31.36
0.220,0.0000000,0.0610352,0.0000000,-0.3592529,-0.1628613,9.8914309,31.37
0.231,0.0000000,0.0000000,0.0000000,-0.3736230,-0.1820215,9.8866405,31.37
0.242,0.0000000,0.0610352,0.0000000,-0.3592529,-0.1820215,9.8962212,31.36
0.253,0.0610352,0.0610352,0.0000000,-0.3784131,-0.1676514,9.9010105,31.36
0.264,0.0000000,0.0000000,0.0000000,-0.3736230,-0.1676514,9.8914309,31.37
0.275,0.0000000,0.0000000,0.0000000,-0.3496729,-0.1580713,9.8914309,31.38
0.286,0.0000000,0.0000000,0.0000000,-0.3257227,-0.1628613,9.8818502,31.38
0.297,0.0000000,0.0610352,0.0000000,-0.3688330,-0.1580713,9.8962212,31.37
0.308,0.0000000,0.0000000,0.0000000,-0.3736230,-0.1437012,9.8866405,31.38
0.319,0.0000000,0.0000000,-0.0610352,-0.3688330,-0.1676514,9.9153805,31.37
0.330,0.0000000,0.0000000,0.0000000,-0.3736230,-0.1484912,9.8866405,31.35
0.341,0.0000000,0.0610352,0.0000000,-0.3544629,-0.1724414,9.8866405,31.37
0.352,0.0000000,0.0000000,0.0000000,-0.3784131,-0.1868115,9.8818502,31.36
0.363,0.0000000,0.0000000,0.0000000,-0.3544629,-0.1676514,9.8818502,31.37
0.374,0.0000000,0.0000000,0.0000000,-0.3592529,-0.1724414,9.8818502,31.38
0.385,0.0000000,0.0000000,0.0000000,-0.3544629,-0.1772314,9.8722706,31.36
0.396,0.0000000,0.0000000,0.0000000,-0.3544629,-0.1724414,9.8818502,31.35
0.407,0.0000000,0.0000000,0.0000000,-0.3592529,-0.1772314,9.8722706,31.36
0.418,0.0000000,0.0610352,-0.0610352,-0.3688330,-0.1724414,9.9105911,31.36
0.429,0.0000000,0.0000000,-0.0610352,-0.3688330,-0.1580713,9.8866405,31.36
0.440,0.0000000,0.0000000,0.0000000,-0.3592529,-0.1724414,9.8866405,31.37
0.451,0.0000000,0.0000000,0.0000000,-0.3544629,-0.1676514,9.8674803,31.37
0.462,0.0000000,0.0610352,0.0000000,-0.3688330,-0.1676514,9.8818502,31.35
0.473,0.0000000,0.0000000,0.0000000,-0.3784131,-0.1628613,9.8818502,31.35
0.484,0.0000000,0.0610352,0.0000000,-0.3688330,-0.1676514,9.8962212,31.36
0.495,0.0610352,0.0000000,0.0000000,-0.3544629,-0.1724414,9.8674803,31.36
0.505,0.0610352,0.0000000,0.0000000,-0.3448828,-0.1868115,9.8770609,31.38
0.516,0.0610352,0.0000000,0.0000000,-0.3640430,-0.1916016,9.8818502,31.36
0.527,0.0610352,0.0000000,-0.0610352,-0.3592529,-0.1580713,9.8866405,31.38
